Job Id,Work Type,Job Title,Experience,Qualifications,Salary Range,location,Country,Role,Job Description
1116,Intern,Software Engineer,1 to 9 Years,M.Com,$56K-$106K,Saint John's,Antigua and Barbuda,Frontend Developer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.. Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization. Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness."
1117,Part-Time,Mechanical Designer,0 to 14 Years,M.Tech,$65K-$121K,Porto-Novo,Benin,CAD Technician,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.. Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable). Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise.
1118,Intern,Market Research Analyst,0 to 9 Years,MCA,$60K-$108K,Kampala,Uganda,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.. Market research methodologies Data collection and analysis Industry knowledge. Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
1119,Part-Time,Interior Designer,0 to 12 Years,BBA,$64K-$94K,Bangui,Central African Republic,Residential Interior Designer,"A Residential Interior Designer plans and designs interior spaces in homes. They select furnishings, colors, and layouts to create functional and aesthetically pleasing environments.. Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering. Plan and design interiors for residential spaces, considering aesthetics and functionality. Select furniture, materials, and color schemes. Create design concepts and layout plans."
1120,Part-Time,Software Tester,4 to 15 Years,M.Com,$63K-$90K,Lisbon,Portugal,Automation Tester,"An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.. Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management. Implement and maintain test automation frameworks. Write automated test scripts for regression testing. Analyze test results and provide feedback for continuous improvement."
1121,Temporary,Nurse Manager,2 to 13 Years,PhD,$55K-$117K,Lilongwe,Malawi,Nursing Director,"Nursing Directors oversee nursing departments in healthcare facilities. They manage nursing staff, develop policies and procedures, and ensure the delivery of high-quality patient care while adhering to regulatory standards.. Nursing management Patient care coordination Staff supervision Compliance with healthcare regulations Quality improvement Leadership skills. Oversee nursing staff and operations in healthcare settings. Develop nursing policies and procedures. Ensure compliance with healthcare regulations."
1122,Part-Time,Customer Support Specialist,0 to 13 Years,PhD,$57K-$98K,Belmopan,Belize,Technical Support Specialist,"Technical Support Specialists assist customers or end-users with technical issues related to products or services. They provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction.. Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation. Provide technical assistance to customers, troubleshoot issues, and resolve inquiries through various communication channels. Maintain accurate records of customer interactions and solutions. Collaborate with other support teams for complex issues."
1123,Temporary,Project Manager,4 to 11 Years,PhD,$56K-$117K,Niamey,Niger,IT Project Manager,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.. Project management Team leadership Risk management Budgeting Communication skills. Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks."
1124,Temporary,Urban Planner,5 to 8 Years,BA,$58K-$82K,Tashkent,Uzbekistan,Environmental Planner,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.. Environmental regulations Ecosystem analysis Environmental impact assessments Sustainability planning Project management. Focus on environmental impact assessments and sustainable urban development. Analyze environmental regulations and recommend compliance measures. Promote green infrastructure and sustainability practices.
1125,Full-Time,Content Writer,3 to 15 Years,B.Tech,$61K-$119K,Kyiv (also known as Kiev),Ukraine,Technical Writer,"Technical Writers specialize in creating user-friendly documentation and manuals for technical products and services. They translate complex technical information into accessible, understandable content.. Technical documentation Technical knowledge Writing skills Editing User manuals. Write technical documentation, user manuals, and instructional guides. Translate complex technical information into user-friendly content. Collaborate with subject matter experts and engineers."
1126,Temporary,Procurement Specialist,3 to 8 Years,M.Tech,$64K-$126K,City of Victoria,"Hong Kong SAR, China",Procurement Manager,"Procurement Managers oversee procurement processes, managing vendor relationships, negotiating contracts, and ensuring cost-effective purchasing of goods and services.. Procurement strategies Supplier management Negotiation Cost analysis Supply chain management. Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services."
1127,Temporary,Software Architect,0 to 10 Years,BCA,$60K-$106K,Funafuti,Tuvalu,Enterprise Architect,"An Enterprise Architect oversees the overall IT infrastructure, ensuring it supports business processes, and develops strategies to enhance the organizations technology landscape.. Enterprise architecture Business strategy alignment IT governance and compliance. Focus on aligning software solutions with overall enterprise architecture. Ensure scalability, security, and interoperability. Evaluate and recommend technology stacks and tools."
1128,Temporary,Art Director,4 to 11 Years,BCA,$62K-$101K,Bishkek,Kyrgyz Republic,Art Curator,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.. Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness. Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions."
1129,Contract,Project Coordinator,0 to 12 Years,BCA,$58K-$126K,Lom̩,Togo,Project Manager,"Project Managers plan, execute, and oversee projects, ensuring they are completed on time and within budget, while managing project teams and resources.. Project planning and scheduling Budget management Risk assessment and mitigation Stakeholder communication Agile or Waterfall methodologies. Assist in project planning, execution, and monitoring. Coordinate project tasks and timelines. Communicate with project stakeholders and team members."
1130,Full-Time,Network Engineer,4 to 14 Years,B.Com,$63K-$94K,Douglas,Isle of Man,Network Administrator,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.. Network management Troubleshooting Network security IT certifications (e.g., CCNA). Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance."
1131,Contract,QA Analyst,2 to 9 Years,MBA,$63K-$94K,Bangkok,Thailand,Performance Testing Specialist,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.. Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis. Focus on performance and load testing to assess the scalability and responsiveness of software applications. Identify bottlenecks and optimize application performance. Generate performance test reports and recommendations."
1132,Intern,Sales Consultant,5 to 13 Years,BA,$61K-$104K,Stockholm,Sweden,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.. B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research. Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
1133,Full-Time,Financial Advisor,2 to 11 Years,B.Com,$65K-$105K,Yerevan,Armenia,Retirement Planner,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.. Retirement planning Social security Investment products Tax planning Estate planning. Specialize in retirement planning, helping clients prepare for financial security in retirement. Create retirement income plans and strategies. Address tax and estate planning considerations."
1134,Contract,Art Director,1 to 14 Years,MBA,$64K-$116K,Tarawa,Kiribati,Creative Director,"Creative Directors lead creative teams in developing visual and conceptual designs for various media, ensuring brand consistency and artistic quality.. Creative leadership Art direction Concept development Visual design Advertising and marketing expertise. Lead and oversee creative teams, including graphic designers and copywriters. Develop and maintain the artistic and creative direction of projects. Ensure brand consistency and visual identity in all creative materials."
1135,Temporary,Systems Administrator,2 to 9 Years,BBA,$62K-$84K,Skopje,"Macedonia, FYR",Database Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.. Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery. Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls."
1136,Full-Time,Data Analyst,0 to 8 Years,PhD,$64K-$110K,Philipsburg,Sint Maarten (Dutch part),Business Intelligence Analyst,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.. Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making. Gather and analyze data to provide insights for decision-making using tools like Tableau or Power BI. Create data visualizations and reports. Identify trends and patterns in data."
1137,Full-Time,Mechanical Engineer,0 to 12 Years,PhD,$57K-$119K,Port Vila,Vanuatu,HVAC Engineer,"HVAC Engineers specialize in heating, ventilation, and air conditioning systems, designing efficient HVAC solutions for buildings and facilities.. Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise. Specialize in heating, ventilation, and air conditioning (HVAC) systems design. Calculate HVAC load requirements and design energy-efficient systems. Ensure compliance with HVAC standards."
1138,Part-Time,Data Engineer,5 to 11 Years,BBA,$59K-$119K,Yaren District (de facto),Nauru,Data Architect,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.. Data architecture design Database management systems Data modeling. Design data architecture and systems to meet business needs. Develop data models and database schemas. Ensure data security and compliance."
1139,Temporary,Social Media Coordinator,5 to 10 Years,MBA,$56K-$110K,Sri Jayawardenepura Kotte,Sri Lanka,Content Creator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.. Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity. Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments."
1140,Part-Time,Network Security Specialist,5 to 11 Years,B.Tech,$56K-$96K,Conakry,Guinea,Security Consultant,"A Security Consultant is responsible for assessing an organizations security infrastructure, identifying vulnerabilities, and recommending solutions to enhance security. They conduct risk assessments, implement security measures, and provide guidance on security policies and procedures.. Security consulting Risk assessment Security audits Security policy development Penetration testing Client communication. Provide expert advice on security strategies and risk assessments. Conduct security assessments and vulnerability testing. Develop security policies and procedures."
1141,Intern,UX Researcher,0 to 9 Years,B.Tech,$63K-$90K,"Washington, D.C.",USA,UX Strategist,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.. User experience strategy User journey mapping Design thinking. Develop UX strategies and roadmaps based on user research and business goals. Collaborate with design and development teams to implement UX enhancements. Conduct usability assessments of existing products."
1142,Intern,Software Developer,0 to 13 Years,MCA,$64K-$113K,Ljubljana,Slovenia,Mobile App Developer,"Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.. Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting. Create mobile applications for iOS and Android platforms. Optimize mobile app performance and user experience. Collaborate with cross-functional teams to define app requirements."
1143,Full-Time,Environmental Consultant,5 to 8 Years,M.Tech,$65K-$96K,Libreville,Gabon,Environmental Impact Analyst,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.. Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing. Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators."
1144,Full-Time,Nurse Manager,3 to 12 Years,M.Tech,$61K-$97K,Tashkent,Uzbekistan,Nurse Educator,"Nurse Educators are responsible for teaching and mentoring nursing students and healthcare professionals. They develop and deliver educational programs, assess learning outcomes, and ensure the competence of nursing staff.. Nursing education Curriculum development Clinical instruction Assessment and evaluation Educational technology Communication skills. Educate and train nursing staff on best practices, new procedures, and medical technologies. Develop and deliver nursing education programs and curricula. Assess and evaluate nursing competencies."
1145,Full-Time,Financial Controller,4 to 9 Years,B.Com,$60K-$128K,Oranjestad,Aruba,Finance Manager,"Finance Managers oversee an organizations financial operations, including budgeting, financial reporting, and investment management. They analyze financial data, make strategic financial decisions, and ensure compliance with financial regulations.. Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning. Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff."
1146,Full-Time,Database Administrator,2 to 10 Years,PhD,$65K-$128K,Bissau,Guinea-Bissau,Database Security Specialist,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.. Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring. Implement and maintain security measures to protect databases from unauthorized access and cyber threats. Monitor and audit database activity. Ensure compliance with data protection regulations.
1147,Temporary,Landscape Architect,5 to 9 Years,B.Com,$61K-$105K,Yaounde,Cameroon,Residential Landscape Designer,"Create aesthetically pleasing and functional landscape designs for residential properties.. Landscape design Plant selection and care Hardscape design. Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality."
1148,Intern,UI Developer,3 to 13 Years,MBA,$63K-$104K,Budapest,Hungary,UX/UI Designer,"A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.. User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma. Design user interfaces and experiences, focusing on usability and user-centered design principles. Create wireframes and prototypes. Conduct user testing and gather feedback for design improvements."
1149,Part-Time,Network Engineer,1 to 12 Years,MCA,$56K-$103K,Ottawa,Canada,Wireless Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.. Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues. Design, configure, and optimize wireless networks, ensuring reliable and secure wireless connectivity. Troubleshoot wireless network issues. Plan and implement wireless network upgrades."
1150,Intern,Network Analyst,4 to 11 Years,B.Com,$55K-$129K,Sarajevo,Bosnia and Herzegovina,Network Performance Analyst,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.. Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols. Analyze network performance data, identify bottlenecks and latency issues, and optimize network performance. Collaborate with network engineers to implement improvements."
1151,Part-Time,Dental Hygienist,5 to 9 Years,M.Tech,$57K-$125K,Beijing,China,Periodontal Therapist,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.. Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education. Specialize in the treatment of gum diseases and periodontal conditions. Perform deep cleanings and scaling procedures. Monitor and assess periodontal health.
1152,Contract,Database Developer,3 to 8 Years,M.Tech,$60K-$112K,City of Port Louis,Mauritius,SQL Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.. SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills. Design, develop, and maintain SQL databases, ensuring data integrity and performance. Write complex SQL queries and stored procedures. Troubleshoot database issues and optimize queries."
1153,Part-Time,Financial Analyst,4 to 8 Years,MBA,$64K-$103K,Bern,Switzerland,Budget Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.. Budget planning Financial forecasting Excel proficiency Data analysis. Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities."
1154,Intern,Procurement Manager,1 to 8 Years,BA,$57K-$126K,Kingston,Jamaica,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.. Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen. Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting."
1155,Part-Time,Nurse Practitioner,3 to 12 Years,BCA,$62K-$130K,Kampala,Uganda,Acute Care Nurse Practitioner,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.. Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning. Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions."
1156,Intern,Network Administrator,2 to 15 Years,BBA,$60K-$118K,Cairo,Egypt,Network Engineer,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.. Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail. Design, configure, and maintain network infrastructure. Troubleshoot network issues and optimize performance. Collaborate with IT teams on network projects."
1157,Contract,Nurse Practitioner,3 to 14 Years,B.Com,$62K-$81K,Vaduz,Liechtenstein,Family Nurse Practitioner,"Family Nurse Practitioners specialize in family-centered healthcare, providing comprehensive medical care to individuals of all ages within a family context.. Family medicine Health assessment Pediatric care Chronic disease management Patient education. Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
1158,Temporary,Customer Service Manager,2 to 15 Years,M.Tech,$57K-$125K,Kigali,Rwanda,Customer Experience Strategist,"Customer Experience Strategists develop and execute strategies to enhance the overall customer experience. They analyze customer feedback, identify pain points, and work across departments to improve products, services, and customer interactions.. Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills. Develop and execute customer experience strategies to improve satisfaction and loyalty. Gather and analyze customer feedback. Collaborate with cross-functional teams to enhance the customer journey."
1159,Contract,Family Lawyer,1 to 15 Years,M.Tech,$61K-$119K,Montevideo,Uruguay,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.. Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation. Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules."
1160,Full-Time,Software Tester,3 to 15 Years,B.Tech,$65K-$87K,Port-au-Prince,Haiti,Performance Tester,"A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.. Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification. Evaluate software performance and scalability through load and stress testing. Identify performance bottlenecks and optimize system performance. Generate performance reports and recommendations."
1161,Temporary,Procurement Coordinator,5 to 11 Years,M.Com,$62K-$83K,Macao,"Macao SAR, China",Purchasing Coordinator,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.. Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations. Coordinate purchasing activities, including vendor sourcing and negotiation. Create purchase orders and track deliveries. Ensure cost-effective procurement."
1162,Contract,Quality Assurance Analyst,4 to 10 Years,MCA,$57K-$130K,Lusaka,Zambia,Quality Assurance Manager,"Quality Assurance Managers lead quality assurance teams, ensuring that products or services meet established quality standards. They develop QA processes, set quality goals, and monitor compliance to maintain quality excellence.. Quality assurance processes and methodologies Quality metrics and KPIs Audit and compliance Team leadership and management Continuous improvement initiatives. Lead the QA team, set quality standards, and define QA strategies. Ensure compliance with QA processes and industry standards. Conduct QA audits and drive process improvements."
1163,Intern,Data Analyst,0 to 8 Years,MBA,$59K-$122K,Brussels,Belgium,Data Scientist,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.. Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R). Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing."
1164,Full-Time,Aerospace Engineer,3 to 14 Years,MCA,$63K-$130K,Lisbon,Portugal,Systems Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.. Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management. Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.
1165,Full-Time,UX/UI Designer,1 to 8 Years,B.Com,$61K-$112K,Harare,Zimbabwe,Interaction Designer,"Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.. Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes. Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs."
1166,Intern,Marketing Specialist,0 to 12 Years,MBA,$60K-$89K,Kinshasa,Democratic Republic Of Congo,Content Marketing Manager,"Content Marketing Managers oversee the creation and distribution of content to attract and engage customers. They develop content strategies, manage content teams, and track performance metrics to optimize content marketing efforts.. Content strategy Content creation Blog management Content promotion SEO Analytics and reporting. Create and curate engaging and relevant content for various marketing materials and platforms. Develop content calendars and distribution strategies. Measure and report content marketing success."
1167,Temporary,Email Marketing Specialist,2 to 15 Years,BA,$60K-$108K,Montevideo,Uruguay,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.. Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail. Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance."
1168,Full-Time,Supply Chain Manager,1 to 9 Years,MCA,$63K-$119K,Georgetown,Guyana,Logistics Manager,"A Logistics Manager oversees the movement and storage of goods in a supply chain. They plan, implement, and manage the efficient transportation and distribution of products.. Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management. Manage the transportation and distribution of goods. Optimize supply chain efficiency, reduce costs, and minimize delivery times. Monitor inventory levels and warehouse operations."
1169,Part-Time,Network Administrator,5 to 14 Years,B.Tech,$63K-$117K,Zagreb,Croatia,Systems Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.. System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge. Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users."
1170,Intern,Landscape Architect,0 to 9 Years,BCA,$58K-$86K,Kathmandu,Nepal,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.. Urban design and planning Zoning regulations GIS and mapping tools. Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects."
1171,Intern,Front-End Developer,0 to 9 Years,MBA,$57K-$99K,Gibraltar,Gibraltar,Web Designer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.. Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration. Focus on the visual design of websites, including layout, typography, and color schemes. Create custom graphics and illustrations. Ensure responsive and mobile-friendly designs."
1172,Full-Time,Network Administrator,4 to 10 Years,BCA,$63K-$102K,Ulaanbaatar,Mongolia,Systems Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.. System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge. Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users."
1173,Temporary,Event Planner,3 to 11 Years,BA,$56K-$84K,Monaco,Monaco,Wedding Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.. Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette. Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions."
1174,Part-Time,Software Tester,1 to 10 Years,PhD,$60K-$84K,Vienna,Austria,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.. Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing. Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
1175,Intern,Executive Assistant,1 to 8 Years,B.Tech,$57K-$103K,New Delhi,India,Personal Assistant,"A Personal Assistant provides administrative support to individuals or executives. Their duties include managing schedules, arranging meetings, handling correspondence, and performing various tasks to enhance efficiency.. Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality. Provide high-level administrative support to executives, including calendar management and travel arrangements. Prepare reports, presentations, and correspondence. Act as a gatekeeper and handle confidential information."
1176,Part-Time,Psychologist,4 to 11 Years,BA,$63K-$82K,Caracas,"Venezuela, RB",Clinical Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.. Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills. Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support."
1177,Temporary,Purchasing Agent,3 to 15 Years,PhD,$64K-$130K,Harare,Zimbabwe,Inventory Manager,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.. Inventory control Demand forecasting Supply chain management Data analysis Warehouse management. Manage inventory levels, track stock, and optimize inventory processes. Ensure stock availability and minimize carrying costs. Conduct inventory audits and reconcile discrepancies."
1178,Intern,Occupational Therapist,4 to 12 Years,PhD,$57K-$92K,Damascus,Syrian Arab Republic,Pediatric Occupational Therapist,A Pediatric Occupational Therapist helps children with developmental or physical challenges improve their motor and life skills through therapy interventions.. Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge. Provide occupational therapy services to children with developmental or sensory challenges. Develop individualized therapy plans. Collaborate with parents and caregivers.
1179,Contract,Teacher,3 to 8 Years,BCA,$63K-$113K,Lilongwe,Malawi,Special Education Teacher,"A Special Education Teacher works with students who have disabilities, tailoring instruction to meet their unique needs and ensuring they have access to a quality education.. Special education strategies Individualized education plans (IEPs) Behavior management techniques Collaboration with support staff Special education laws and regulations knowledge. Provide tailored instruction and support to students with special needs. Develop and implement Individualized Education Plans (IEPs). Collaborate with parents, therapists, and support staff."
